fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
1,mono_tagalog,bikol_test,all,36.6667,0.537,0.367,0.239,0.1324,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.38766666666666666
1,mono_tagalog,cebuano_test,all,45.7143,0.566,0.457,0.235,0.2055,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.4673333333333334
1,mono_tagalog,tagalog_test,xlmr,56.6038,0.592,0.566,0.233,0.3368,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5556666666666666
1,mono_tagalog,bikol_test,xlmr,36.6667,0.712,0.367,0.177,0.1703,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.3443333333333333
1,mono_tagalog,cebuano_test,xlmr,38.5714,0.515,0.386,0.265,0.0945,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.37366666666666665
1,mono_tagalog,tagalog_test,all_xlmr,62.2642,0.667,0.623,0.208,0.4208,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.6070000000000001
1,mono_tagalog,bikol_test,all_xlmr,40.0,0.0,0.4,0.145,0.2174,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.3606666666666667
1,mono_tagalog,cebuano_test,all_xlmr,44.2857,0.652,0.443,0.222,0.1966,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.4503333333333333
1,mono_bikol,tagalog_test,trad,39.6226,0.34,0.396,0.288,0.1045,BCL,TGL,TRAD,TGL | TRAD,0.351
1,mono_bikol,bikol_test,trad,70.0,0.611,0.7,0.22,0.4828,BCL,BCL,TRAD,BCL | TRAD,0.5226666666666667
1,mono_bikol,cebuano_test,trad,64.2857,0.701,0.643,0.311,0.3641,BCL,CEB,TRAD,CEB | TRAD,0.5453333333333333
1,mono_bikol,tagalog_test,trad_clgsngo,37.7358,0.273,0.377,0.292,0.0804,BCL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.3183333333333333
1,mono_bikol,bikol_test,trad_clgsngo,73.3333,0.0,0.733,0.214,0.5322,BCL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.5353333333333333
1,mono_bikol,cebuano_test,trad_clgsngo,61.4286,0.743,0.614,0.346,0.3026,BCL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.49100000000000005
1,mono_bikol,tagalog_test,mbert,35.8491,0.0,0.358,0.272,0.0834,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.2836666666666667
1,mono_bikol,bikol_test,mbert,70.0,0.0,0.7,0.223,0.4828,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.511
1,mono_bikol,cebuano_test,mbert,60.0,0.436,0.6,0.324,0.2919,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.436
1,mono_bikol,tagalog_test,all,24.5283,0.0,0.245,0.307,-0.0589,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.13333333333333333
1,mono_bikol,bikol_test,all,70.0,0.0,0.7,0.223,0.4828,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.511
1,mono_bikol,cebuano_test,all,58.5714,0.43,0.586,0.346,0.257,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.41933333333333334
1,mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.283,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.147
1,mono_bikol,bikol_test,xlmr,70.0,0.604,0.7,0.21,0.4857,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.519
1,mono_bikol,cebuano_test,xlmr,58.5714,0.0,0.586,0.363,0.2481,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.4203333333333334
1,mono_bikol,tagalog_test,all_xlmr,28.3019,0.0,0.283,0.283,0.0,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.147
1,mono_bikol,bikol_test,all_xlmr,73.3333,0.713,0.733,0.191,0.548,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.626
1,mono_bikol,cebuano_test,all_xlmr,57.1429,0.0,0.571,0.377,0.217,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.39866666666666667
