fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
1,mono_bikol,cebuano_test,trad_clgsngo,58.5714,0.0,0.586,0.317,0.2862,BCL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.4363333333333333
1,mono_bikol,tagalog_test,mbert,45.283,0.0,0.453,0.284,0.171,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.3463333333333333
1,mono_bikol,bikol_test,mbert,60.0,0.581,0.6,0.256,0.337,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.5163333333333333
1,mono_bikol,cebuano_test,mbert,68.5714,0.661,0.686,0.175,0.4961,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.6166666666666667
1,mono_bikol,tagalog_test,all,45.283,0.0,0.453,0.281,0.1728,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.345
1,mono_bikol,bikol_test,all,66.6667,0.668,0.667,0.197,0.4595,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.6173333333333334
1,mono_bikol,cebuano_test,all,71.4286,0.7,0.714,0.148,0.5466,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.654
1,mono_bikol,tagalog_test,xlmr,39.6226,0.0,0.396,0.285,0.1064,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.314
1,mono_bikol,bikol_test,xlmr,53.3333,0.475,0.533,0.314,0.209,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.39666666666666667
1,mono_bikol,cebuano_test,xlmr,52.8571,0.426,0.529,0.258,0.2577,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.42133333333333334
1,mono_bikol,tagalog_test,all_xlmr,37.7358,0.0,0.377,0.302,0.0726,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.29400000000000004
1,mono_bikol,bikol_test,all_xlmr,60.0,0.537,0.6,0.256,0.3296,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.4523333333333333
1,mono_bikol,cebuano_test,all_xlmr,55.7143,0.444,0.557,0.239,0.3036,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.441
